Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2021,3,West,Discretionary & On-Demand,English,1155283428
2021,3,West,Non-Canadian & Other,English,277794415
2021,4,Atlantic,Conventional ,English,224655345
2021,4,Atlantic,Conventional ,French,3214849
2021,4,Atlantic,Discretionary & On-Demand,French,2015611
2021,4,Atlantic,Discretionary & On-Demand,English,477417297
2021,4,Atlantic,Non-Canadian & Other,English,109721417
2021,4,Central,Conventional ,English,199649049
2021,4,Central,Conventional ,French,121785
2021,4,Central,Discretionary & On-Demand,English,394950695
2021,4,Central,Discretionary & On-Demand,French,61767
2021,4,Central,Non-Canadian & Other,English,63963031
2021,4,Ontario,Conventional ,English,991474902
2021,4,Ontario,Conventional ,French,9124060
2021,4,Ontario,Discretionary & On-Demand,French,9409207
2021,4,Ontario,Discretionary & On-Demand,English,2109011299
2021,4,Ontario,Non-Canadian & Other,English,469787531
2021,4,Quebec,Conventional ,English,144886230
2021,4,Quebec,Conventional ,French,978007058
2021,4,Quebec,Discretionary & On-Demand,French,1057117098
2021,4,Quebec,Discretionary & On-Demand,English,211628966
2021,4,Quebec,Non-Canadian & Other,English,73946037
2021,4,West,Conventional ,French,832471
2021,4,West,Conventional ,English,672499982
2021,4,West,Discretionary & On-Demand,French,703221
2021,4,West,Discretionary & On-Demand,English,1069048247
2021,4,West,Non-Canadian & Other,English,276426943
2022,1,Atlantic,Conventional ,French,4054928
2022,1,Atlantic,Conventional ,English,242447549
2022,1,Atlantic,Discretionary & On-Demand,English,472325462
2022,1,Atlantic,Discretionary & On-Demand,French,2392414
2022,1,Atlantic,Non-Canadian & Other,English,77653595
2022,1,Central,Conventional ,French,162087
2022,1,Central,Conventional ,English,196339956
2022,1,Central,Discretionary & On-Demand,English,497719222
2022,1,Central,Discretionary & On-Demand,French,30490
2022,1,Central,Non-Canadian & Other,English,54841538
2022,1,Ontario,Conventional ,French,13182714
2022,1,Ontario,Conventional ,English,1019704125
2022,1,Ontario,Discretionary & On-Demand,English,2216264055
2022,1,Ontario,Discretionary & On-Demand,French,19105972
2022,1,Ontario,Non-Canadian & Other,English,442548956
2022,1,Quebec,Conventional ,French,1252095438
2022,1,Quebec,Conventional ,English,119986972
2022,1,Quebec,Discretionary & On-Demand,French,1049164046
2022,1,Quebec,Discretionary & On-Demand,English,212976165
2022,1,Quebec,Non-Canadian & Other,English,83163781
2022,1,West,Conventional ,English,703929815
2022,1,West,Conventional ,French,660730
2022,1,West,Discretionary & On-Demand,English,1155952879
2022,1,West,Discretionary & On-Demand,French,1109429
2022,1,West,Non-Canadian & Other,English,280633650
2022,2,Atlantic,Conventional ,English,268603882
2022,2,Atlantic,Conventional ,French,4098481
2022,2,Atlantic,Discretionary & On-Demand,French,2980099
2022,2,Atlantic,Discretionary & On-Demand,English,466422685
2022,2,Atlantic,Non-Canadian & Other,English,81518354
2022,2,Central,Conventional ,English,220230055
2022,2,Central,Conventional ,French,106280
2022,2,Central,Discretionary & On-Demand,English,497493605
2022,2,Central,Discretionary & On-Demand,French,74076
2022,2,Central,Non-Canadian & Other,English,62988218
2022,2,Ontario,Conventional ,English,1100808550
2022,2,Ontario,Conventional ,French,28270033
2022,2,Ontario,Discretionary & On-Demand,English,2251464690
2022,2,Ontario,Discretionary & On-Demand,French,29110982
2022,2,Ontario,Non-Canadian & Other,English,443732254
2022,2,Quebec,Conventional ,English,127007613
2022,2,Quebec,Conventional ,French,1406503755
2022,2,Quebec,Discretionary & On-Demand,French,1176535471
2022,2,Quebec,Discretionary & On-Demand,English,196424222
