Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2020,3,Vancouver,Private Commercial,French,12077
2020,3,Vancouver,Private Commercial,English,155535537
2020,4,Calgary,CBC/SRC,French,692777
2020,4,Calgary,CBC/SRC,English,16286348
2020,4,Calgary,Non-Commercial,French,
2020,4,Calgary,Non-Commercial,English,16632
2020,4,Calgary,Private Commercial,French,184
2020,4,Calgary,Private Commercial,English,106948904
2020,4,Edmonton,CBC/SRC,French,1409914
2020,4,Edmonton,CBC/SRC,English,12783006
2020,4,Edmonton,Non-Commercial,French,
2020,4,Edmonton,Non-Commercial,English,
2020,4,Edmonton,Private Commercial,French,693
2020,4,Edmonton,Private Commercial,English,104701497
2020,4,Montreal,CBC/SRC,English,10673895
2020,4,Montreal,CBC/SRC,French,49927277
2020,4,Montreal,Non-Commercial,French,
2020,4,Montreal,Non-Commercial,English,286472
2020,4,Montreal,Private Commercial,English,112036325
2020,4,Montreal,Private Commercial,French,211895479
2020,4,Toronto,CBC/SRC,French,2101751
2020,4,Toronto,CBC/SRC,English,95315362
2020,4,Toronto,Non-Commercial,French,
2020,4,Toronto,Non-Commercial,English,12037900
2020,4,Toronto,Private Commercial,French,102240
2020,4,Toronto,Private Commercial,English,376896948
2020,4,Vancouver,CBC/SRC,French,670253
2020,4,Vancouver,CBC/SRC,English,30787435
2020,4,Vancouver,Non-Commercial,French,
2020,4,Vancouver,Non-Commercial,English,8496
2020,4,Vancouver,Private Commercial,French,31235
2020,4,Vancouver,Private Commercial,English,160784121
2021,1,Calgary,CBC/SRC,French,742356
2021,1,Calgary,CBC/SRC,English,16914456
2021,1,Calgary,Non-Commercial,French,
2021,1,Calgary,Non-Commercial,English,25416
2021,1,Calgary,Private Commercial,French,48
2021,1,Calgary,Private Commercial,English,103290435
2021,1,Edmonton,CBC/SRC,French,1955645
2021,1,Edmonton,CBC/SRC,English,11398628
2021,1,Edmonton,Non-Commercial,French,
2021,1,Edmonton,Non-Commercial,English,123
2021,1,Edmonton,Private Commercial,French,4049
2021,1,Edmonton,Private Commercial,English,101435679
2021,1,Montreal,CBC/SRC,English,13712180
2021,1,Montreal,CBC/SRC,French,67461935
2021,1,Montreal,Non-Commercial,French,
2021,1,Montreal,Non-Commercial,English,365977
2021,1,Montreal,Private Commercial,English,108151390
2021,1,Montreal,Private Commercial,French,215334524
2021,1,Toronto,CBC/SRC,French,388814
2021,1,Toronto,CBC/SRC,English,103079123
2021,1,Toronto,Non-Commercial,French,
2021,1,Toronto,Non-Commercial,English,13073907
2021,1,Toronto,Private Commercial,French,52612
2021,1,Toronto,Private Commercial,English,374008787
2021,1,Vancouver,CBC/SRC,French,1659396
2021,1,Vancouver,CBC/SRC,English,32419294
2021,1,Vancouver,Non-Commercial,French,
2021,1,Vancouver,Non-Commercial,English,7401
2021,1,Vancouver,Private Commercial,French,7945
2021,1,Vancouver,Private Commercial,English,167960061
2021,2,Calgary,CBC/SRC,French,553156
2021,2,Calgary,CBC/SRC,English,16164803
2021,2,Calgary,Non-Commercial,French,
2021,2,Calgary,Non-Commercial,English,28277
2021,2,Calgary,Private Commercial,French,103
2021,2,Calgary,Private Commercial,English,97102484
2021,2,Edmonton,CBC/SRC,French,2407403
2021,2,Edmonton,CBC/SRC,English,11277027
2021,2,Edmonton,Non-Commercial,French,
2021,2,Edmonton,Non-Commercial,English,86
2021,2,Edmonton,Private Commercial,French,10730
2021,2,Edmonton,Private Commercial,English,91684187
2021,2,Montreal,CBC/SRC,English,13331975
2021,2,Montreal,CBC/SRC,French,62313430
2021,2,Montreal,Non-Commercial,French,
2021,2,Montreal,Non-Commercial,English,500656
2021,2,Montreal,Private Commercial,English,108057508
2021,2,Montreal,Private Commercial,French,190980223
2021,2,Toronto,CBC/SRC,French,269911
2021,2,Toronto,CBC/SRC,English,91433316
2021,2,Toronto,Non-Commercial,French,
2021,2,Toronto,Non-Commercial,English,11505497
2021,2,Toronto,Private Commercial,French,37695
2021,2,Toronto,Private Commercial,English,359189615
2021,2,Vancouver,CBC/SRC,French,930823
2021,2,Vancouver,CBC/SRC,English,32385592
2021,2,Vancouver,Non-Commercial,French,
2021,2,Vancouver,Non-Commercial,English,2942
2021,2,Vancouver,Private Commercial,French,1308
2021,2,Vancouver,Private Commercial,English,165099831
2021,3,Calgary,CBC/SRC,French,593715
2021,3,Calgary,CBC/SRC,English,18523426
2021,3,Calgary,Non-Commercial,French,
2021,3,Calgary,Non-Commercial,English,46699
2021,3,Calgary,Private Commercial,French,125
2021,3,Calgary,Private Commercial,English,106934257
2021,3,Edmonton,CBC/SRC,French,2470312
2021,3,Edmonton,CBC/SRC,English,12080497
2021,3,Edmonton,Non-Commercial,English,
2021,3,Edmonton,Non-Commercial,French,
2021,3,Edmonton,Private Commercial,French,6360
2021,3,Edmonton,Private Commercial,English,97527238
2021,3,Montreal,CBC/SRC,English,13966182
2021,3,Montreal,CBC/SRC,French,64247283
2021,3,Montreal,Non-Commercial,French,
2021,3,Montreal,Non-Commercial,English,440795
2021,3,Montreal,Private Commercial,English,110536793
2021,3,Montreal,Private Commercial,French,203279170
2021,3,Toronto,CBC/SRC,French,372659
2021,3,Toronto,CBC/SRC,English,89217592
2021,3,Toronto,Non-Commercial,French,
2021,3,Toronto,Non-Commercial,English,12353450
2021,3,Toronto,Private Commercial,French,14379
